device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
desktop,Samsung,Firefox,655,408461,2022-01-01 00:00:00,zh,USA,Facebook,Organic,add_to_cart,349,851504,4171,115.0,3,2,83.10962293829336,2022-01-01,01
tablet,Other,Firefox,425,611683,2022-01-01 01:00:00,en,France,Facebook,Organic,page_view,384,218287,3773,441.0,5,3,5.295313711635049,2022-01-02,01
desktop,Apple,Firefox,306,330872,2022-01-01 02:00:00,fr,Taiwan,Referral,CPC,purchase,576,440953,2766,63.0,9,4,175.84549089644332,2022-01-03,01
desktop,Oppo,Safari,930,508961,2022-01-01 03:00:00,jp,France,Facebook,Social,add_to_cart,550,355841,1360,448.0,1,1,327.5211914270748,2022-01-04,01
tablet,Apple,Edge,200,432397,2022-01-01 04:00:00,jp,France,Google,Organic,purchase,892,698035,7390,217.0,7,2,314.9643836412234,2022-01-05,01
mobile,Oppo,Edge,106,997821,2022-01-01 05:00:00,zh,France,Google,CPC,page_view,774,812770,5855,327.0,4,1,60.476694400646934,2022-01-06,01
mobile,Oppo,Firefox,570,484217,2022-01-01 06:00:00,en,France,Google,Organic,purchase,553,342541,5739,256.0,8,1,72.14948497334807,2022-01-07,01
desktop,Apple,Firefox,209,685319,2022-01-01 07:00:00,zh,Japan,Google,Social,add_to_cart,318,809491,1022,397.0,9,4,433.64728821931345,2022-01-08,01
tablet,Xiaomi,Chrome,516,615978,2022-01-01 08:00:00,jp,France,Facebook,Organic,add_to_cart,619,138199,1900,423.0,1,1,277.0323800280126,2022-01-09,01
tablet,Apple,Edge,66,485732,2022-01-01 09:00:00,en,Japan,Direct,Social,page_view,577,793252,3885,472.0,6,4,481.6548354579552,2022-01-10,01
mobile,Other,Edge,628,976300,2022-01-01 10:00:00,fr,USA,Direct,Organic,page_view,367,484517,8163,112.0,5,2,76.86510286317296,2022-01-11,01
tablet,Other,Firefox,42,764922,2022-01-01 11:00:00,zh,USA,Facebook,CPC,page_view,399,943561,986,327.0,4,3,229.4792915501168,2022-01-12,01
tablet,Oppo,Safari,723,718504,2022-01-01 12:00:00,en,Japan,Direct,Organic,add_to_cart,90,479375,8917,102.0,8,3,464.39161616063444,2022-01-13,01
mobile,Oppo,Firefox,293,129044,2022-01-01 13:00:00,jp,Japan,Facebook,Organic,purchase,234,176214,2728,408.0,9,2,100.10360784815676,2022-01-14,01
desktop,Apple,Edge,374,640172,2022-01-01 14:00:00,jp,France,Referral,Social,page_view,115,672727,4104,110.0,5,1,273.8399361542699,2022-01-15,01
mobile,Samsung,Firefox,351,662091,2022-01-01 15:00:00,jp,Japan,Referral,Organic,add_to_cart,548,216936,2419,286.0,3,3,272.00660241055886,2022-01-16,01
desktop,Xiaomi,Chrome,42,803373,2022-01-01 16:00:00,zh,Taiwan,Direct,CPC,add_to_cart,528,454262,3947,299.0,4,2,487.70883538990404,2022-01-17,01
mobile,Samsung,Safari,181,748461,2022-01-01 17:00:00,zh,Taiwan,Facebook,CPC,add_to_cart,2,369900,1441,389.0,5,2,214.59646339170425,2022-01-18,01
