device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
mobile,Xiaomi,Edge,800,394828,2022-01-01 00:00:00,jp,Japan,Referral,Organic,purchase,424,705054,735,126.0,1,4,427.27146232496233,2022-01-01,03
tablet,Other,Chrome,963,140839,2022-01-01 01:00:00,en,Taiwan,Facebook,CPC,add_to_cart,554,525995,6937,37.0,5,2,7.857692940402685,2022-01-02,03
mobile,Xiaomi,Safari,80,800430,2022-01-01 02:00:00,zh,France,Direct,Organic,purchase,166,395413,7546,442.0,6,4,121.5371460659089,2022-01-03,03
mobile,Xiaomi,Chrome,826,897501,2022-01-01 03:00:00,en,Japan,Google,Social,add_to_cart,418,363498,4398,424.0,7,4,498.0818709886519,2022-01-04,03
tablet,Oppo,Edge,566,556248,2022-01-01 04:00:00,fr,Japan,Direct,Social,purchase,347,224421,663,61.0,1,4,216.22577330156537,2022-01-05,03
mobile,Oppo,Safari,994,125288,2022-01-01 05:00:00,zh,Japan,Direct,CPC,add_to_cart,271,817003,5151,401.0,4,2,242.170630557667,2022-01-06,03
desktop,Apple,Edge,505,832127,2022-01-01 06:00:00,fr,Japan,Direct,Organic,purchase,235,351265,3099,59.0,2,4,347.96233331908985,2022-01-07,03
desktop,Oppo,Safari,732,414409,2022-01-01 07:00:00,zh,Japan,Google,Organic,page_view,295,825057,1663,222.0,9,3,279.514935289875,2022-01-08,03
tablet,Oppo,Firefox,555,770214,2022-01-01 08:00:00,fr,USA,Facebook,CPC,purchase,502,119502,8288,394.0,2,4,267.56046466911533,2022-01-09,03
mobile,Xiaomi,Chrome,437,139151,2022-01-01 09:00:00,en,USA,Direct,CPC,add_to_cart,628,835363,1185,240.0,1,4,498.54470018242694,2022-01-10,03
tablet,Xiaomi,Chrome,633,490957,2022-01-01 10:00:00,zh,France,Facebook,Organic,add_to_cart,323,559371,5787,87.0,8,1,352.39706166227995,2022-01-11,03
tablet,Xiaomi,Chrome,14,307649,2022-01-01 11:00:00,en,Japan,Google,Organic,purchase,673,725132,1559,93.0,8,4,332.3615825784258,2022-01-12,03
tablet,Xiaomi,Firefox,480,697565,2022-01-01 12:00:00,en,France,Google,CPC,purchase,112,402058,2812,259.0,9,4,165.20203681069063,2022-01-13,03
tablet,Apple,Chrome,153,246269,2022-01-01 13:00:00,en,USA,Google,CPC,page_view,317,236645,3195,409.0,7,1,417.77413930525984,2022-01-14,03
mobile,Apple,Safari,755,896216,2022-01-01 14:00:00,en,France,Facebook,Organic,page_view,318,264979,5550,276.0,8,2,182.55375598109723,2022-01-15,03
mobile,Other,Edge,745,646654,2022-01-01 15:00:00,jp,Japan,Direct,CPC,purchase,528,135961,6947,344.0,7,1,425.4048577784815,2022-01-16,03
tablet,Samsung,Chrome,376,106158,2022-01-01 16:00:00,en,Japan,Facebook,CPC,add_to_cart,910,447283,5851,391.0,5,3,452.94930905300345,2022-01-17,03
desktop,Apple,Chrome,177,564468,2022-01-01 17:00:00,en,USA,Facebook,CPC,page_view,881,485153,2246,167.0,6,4,327.578539416946,2022-01-18,03
tablet,Xiaomi,Firefox,944,687395,2022-01-01 18:00:00,zh,Japan,Referral,Social,page_view,498,480902,6344,251.0,8,3,284.75722391260246,2022-01-19,03
desktop,Oppo,Edge,327,373030,2022-01-01 19:00:00,en,Taiwan,Direct,CPC,page_view,241,944355,7500,404.0,5,1,260.0525716158345,2022-01-20,03
desktop,Apple,Edge,689,122096,2022-01-01 20:00:00,fr,Japan,Direct,Social,add_to_cart,221,834214,1926,454.0,6,3,493.8489194079904,2022-01-21,03
desktop,Samsung,Chrome,571,858589,2022-01-01 21:00:00,jp,Japan,Facebook,Social,page_view,888,302996,7396,483.0,1,2,301.3262820362573,2022-01-22,03
desktop,Other,Firefox,211,545073,2022-01-01 22:00:00,en,Japan,Referral,CPC,purchase,346,987954,5815,415.0,7,3,428.84344011681543,2022-01-23,03
