device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
desktop,Oppo,Edge,427,224201,2022-01-01 00:00:00,fr,France,Referral,Organic,page_view,821,548291,41,202.0,5,4,62.518159440952516,2022-01-01,11
desktop,Other,Edge,674,409719,2022-01-01 01:00:00,en,Japan,Google,CPC,add_to_cart,611,650292,7572,470.0,8,3,32.880418550240115,2022-01-02,11
desktop,Other,Safari,1000,493027,2022-01-01 02:00:00,zh,USA,Direct,Organic,page_view,283,169520,5198,310.0,5,2,83.69108816569724,2022-01-03,11
mobile,Samsung,Firefox,846,165927,2022-01-01 03:00:00,jp,Taiwan,Referral,Social,page_view,575,620432,3855,331.0,3,1,238.75512366367744,2022-01-04,11
desktop,Other,Safari,102,704588,2022-01-01 04:00:00,jp,France,Direct,Social,purchase,427,847913,6853,318.0,7,4,118.62544082482312,2022-01-05,11
desktop,Xiaomi,Safari,840,652925,2022-01-01 05:00:00,fr,USA,Facebook,Organic,add_to_cart,475,113527,1497,139.0,8,1,474.9026517203401,2022-01-06,11
desktop,Other,Firefox,357,600412,2022-01-01 06:00:00,zh,USA,Facebook,CPC,purchase,175,794404,7959,63.0,5,4,182.384626664284,2022-01-07,11
desktop,Samsung,Edge,711,584492,2022-01-01 07:00:00,zh,Taiwan,Direct,Social,page_view,625,595005,6661,265.0,2,2,305.67588843555944,2022-01-08,11
mobile,Oppo,Safari,922,125085,2022-01-01 08:00:00,fr,Taiwan,Referral,CPC,add_to_cart,329,373177,3028,267.0,5,3,481.68876787623213,2022-01-09,11
desktop,Xiaomi,Firefox,95,386107,2022-01-01 09:00:00,fr,France,Referral,Organic,add_to_cart,20,275912,3200,78.0,4,2,187.9863590737135,2022-01-10,11
mobile,Oppo,Firefox,528,317828,2022-01-01 10:00:00,zh,Taiwan,Facebook,CPC,purchase,280,630665,7941,290.0,6,3,163.5524889125446,2022-01-11,11
tablet,Oppo,Firefox,557,384157,2022-01-01 11:00:00,jp,USA,Google,Social,purchase,148,310010,5823,133.0,3,3,62.45071527533051,2022-01-12,11
desktop,Other,Edge,149,614427,2022-01-01 12:00:00,zh,Taiwan,Google,CPC,purchase,668,356718,4936,26.0,7,2,429.4989791439336,2022-01-13,11
