device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
desktop,Xiaomi,Firefox,737,654099,2022-01-01 00:00:00,fr,Taiwan,Direct,Organic,page_view,521,641734,8672,261.0,8,4,322.9604263632036,2022-01-01,04
mobile,Oppo,Safari,569,843742,2022-01-01 01:00:00,jp,France,Facebook,Organic,page_view,351,348764,9885,399.0,7,1,259.1250922042692,2022-01-02,04
desktop,Oppo,Edge,882,692726,2022-01-01 02:00:00,fr,France,Google,Social,purchase,350,222701,9485,124.0,8,4,53.05881790158241,2022-01-03,04
desktop,Apple,Chrome,676,323719,2022-01-01 03:00:00,fr,Taiwan,Facebook,CPC,page_view,952,783382,9296,140.0,4,3,144.03664994440163,2022-01-04,04
desktop,Samsung,Chrome,306,185836,2022-01-01 04:00:00,en,France,Facebook,CPC,add_to_cart,557,494191,2285,247.0,6,3,252.91225256275544,2022-01-05,04
desktop,Oppo,Edge,344,358467,2022-01-01 05:00:00,fr,France,Referral,Organic,purchase,816,229370,5321,58.0,9,4,444.7882429385268,2022-01-06,04
tablet,Other,Firefox,999,290617,2022-01-01 06:00:00,jp,Japan,Facebook,Social,add_to_cart,564,154506,5740,246.0,9,4,302.5378812296315,2022-01-07,04
tablet,Oppo,Chrome,10,153109,2022-01-01 07:00:00,zh,France,Direct,CPC,purchase,436,269220,3433,351.0,1,2,130.3669952974825,2022-01-08,04
mobile,Xiaomi,Edge,606,512523,2022-01-01 08:00:00,en,Japan,Facebook,CPC,purchase,189,505949,9347,167.0,8,1,371.57735123805026,2022-01-09,04
tablet,Other,Safari,979,295617,2022-01-01 09:00:00,en,Taiwan,Referral,CPC,page_view,168,400278,7444,23.0,3,3,20.293563420429237,2022-01-10,04
tablet,Oppo,Edge,202,749301,2022-01-01 10:00:00,zh,Japan,Direct,CPC,purchase,178,993836,5787,7.0,6,2,116.29304457408848,2022-01-11,04
desktop,Samsung,Safari,521,233137,2022-01-01 11:00:00,zh,USA,Direct,CPC,page_view,31,427445,4363,406.0,5,2,9.204201398301155,2022-01-12,04
mobile,Oppo,Firefox,305,132777,2022-01-01 12:00:00,en,Taiwan,Direct,Social,add_to_cart,785,446734,6335,108.0,2,1,481.7395616975881,2022-01-13,04
mobile,Other,Chrome,862,144129,2022-01-01 13:00:00,fr,France,Direct,Organic,purchase,123,537059,9479,130.0,7,2,422.12182879827157,2022-01-14,04
desktop,Samsung,Edge,242,530801,2022-01-01 14:00:00,zh,Taiwan,Referral,Social,purchase,271,635120,7641,443.0,2,4,381.73204882479746,2022-01-15,04
desktop,Xiaomi,Chrome,310,771804,2022-01-01 15:00:00,fr,USA,Referral,CPC,page_view,587,363835,8114,370.0,6,3,202.6467859954409,2022-01-16,04
desktop,Other,Edge,507,897691,2022-01-01 16:00:00,fr,USA,Google,CPC,add_to_cart,997,931825,4938,275.0,4,3,148.87917179079466,2022-01-17,04
desktop,Other,Chrome,358,462829,2022-01-01 17:00:00,jp,Japan,Google,Social,add_to_cart,523,797283,4263,205.0,3,4,151.32075602337466,2022-01-18,04
tablet,Other,Chrome,765,710001,2022-01-01 18:00:00,zh,USA,Referral,Organic,page_view,53,193483,9315,345.0,2,3,260.42625400523366,2022-01-19,04
tablet,Xiaomi,Edge,368,866619,2022-01-01 19:00:00,zh,Japan,Facebook,CPC,page_view,585,371491,8127,166.0,2,3,449.52422511906525,2022-01-20,04
mobile,Xiaomi,Safari,422,797820,2022-01-01 20:00:00,zh,USA,Google,Organic,purchase,550,598243,9283,355.0,3,4,198.1776073276882,2022-01-21,04
desktop,Xiaomi,Chrome,459,511097,2022-01-01 21:00:00,fr,France,Direct,Organic,add_to_cart,417,580184,129,205.0,4,4,10.528651387332332,2022-01-22,04
tablet,Other,Firefox,974,814290,2022-01-01 22:00:00,en,Taiwan,Google,Social,page_view,58,486065,5111,396.0,8,3,238.27844746109844,2022-01-23,04
mobile,Oppo,Safari,149,913215,2022-01-01 23:00:00,fr,USA,Referral,Organic,page_view,263,597397,282,456.0,6,3,235.54901270390448,2022-01-24,04
desktop,Oppo,Safari,563,160678,2022-01-02 00:00:00,zh,Taiwan,Direct,CPC,add_to_cart,667,303127,7549,376.0,8,2,310.3996983680251,2022-01-25,04
tablet,Oppo,Chrome,21,378212,2022-01-02 01:00:00,jp,France,Facebook,CPC,add_to_cart,520,598412,5323,31.0,6,1,149.31851756221826,2022-01-26,04
mobile,Oppo,Chrome,219,973690,2022-01-02 02:00:00,en,Japan,Direct,Social,page_view,117,635691,5778,94.0,8,2,361.37869166623045,2022-01-27,04
mobile,Other,Safari,795,368974,2022-01-02 03:00:00,zh,Japan,Google,CPC,page_view,112,537668,7595,89.0,5,3,361.2039332471996,2022-01-28,04
desktop,Apple,Safari,494,568864,2022-01-02 04:00:00,jp,Taiwan,Referral,Social,page_view,574,649247,6863,474.0,7,4,202.25310161028017,2022-01-29,04
tablet,Oppo,Chrome,462,263817,2022-01-02 05:00:00,en,Japan,Referral,Social,add_to_cart,749,460743,5426,445.0,2,4,99.49465509505104,2022-01-30,04
tablet,Apple,Safari,750,436280,2022-01-02 06:00:00,en,Taiwan,Referral,CPC,add_to_cart,932,199093,3006,144.0,3,4,348.8574064593843,2022-01-31,04
