device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
mobile,Oppo,Edge,603,605842,2022-01-01 00:00:00,fr,France,Direct,Organic,purchase,979,773464,9249,388.0,5,1,67.432313131298,2022-01-01,08
mobile,Samsung,Firefox,834,671583,2022-01-01 01:00:00,fr,Taiwan,Google,CPC,purchase,435,100354,4315,367.0,6,2,111.6223949861871,2022-01-02,08
desktop,Oppo,Edge,911,197430,2022-01-01 02:00:00,en,Taiwan,Direct,Organic,purchase,896,554589,4991,281.0,5,3,336.15027642292443,2022-01-03,08
tablet,Oppo,Edge,294,407291,2022-01-01 03:00:00,en,Japan,Google,Social,page_view,350,543198,1462,415.0,4,4,55.07691040704635,2022-01-04,08
tablet,Apple,Firefox,522,358807,2022-01-01 04:00:00,fr,Japan,Google,Social,purchase,994,350749,3217,257.0,2,2,166.75829995732823,2022-01-05,08
desktop,Samsung,Chrome,233,920323,2022-01-01 05:00:00,fr,Japan,Google,Organic,purchase,618,636426,7079,217.0,1,1,227.16554602632155,2022-01-06,08
mobile,Oppo,Edge,372,904828,2022-01-01 06:00:00,zh,Taiwan,Facebook,Social,page_view,191,552369,3353,203.0,4,3,370.291186391144,2022-01-07,08
desktop,Oppo,Firefox,963,294618,2022-01-01 07:00:00,jp,France,Facebook,CPC,add_to_cart,835,455294,9257,457.0,2,4,73.07986064663547,2022-01-08,08
tablet,Samsung,Edge,873,334835,2022-01-01 08:00:00,jp,France,Direct,CPC,purchase,246,837621,4543,248.0,6,1,301.3417113546566,2022-01-09,08
desktop,Xiaomi,Safari,9,204673,2022-01-01 09:00:00,zh,France,Facebook,CPC,page_view,198,474135,1006,291.0,8,4,341.0057897201752,2022-01-10,08
desktop,Oppo,Chrome,782,521890,2022-01-01 10:00:00,zh,France,Google,Social,add_to_cart,561,279936,6727,429.0,4,1,301.02655029958214,2022-01-11,08
tablet,Apple,Chrome,863,813944,2022-01-01 11:00:00,jp,Taiwan,Google,CPC,add_to_cart,476,880136,8013,191.0,1,4,6.319086003982219,2022-01-12,08
desktop,Oppo,Edge,464,733270,2022-01-01 12:00:00,jp,Taiwan,Direct,CPC,add_to_cart,613,636580,2832,35.0,2,2,83.87462542039728,2022-01-13,08
tablet,Other,Chrome,423,365923,2022-01-01 13:00:00,en,France,Facebook,Social,page_view,400,329829,341,251.0,9,4,41.6325414476302,2022-01-14,08
tablet,Apple,Safari,1,974710,2022-01-01 14:00:00,en,Taiwan,Referral,CPC,add_to_cart,37,879551,3413,310.0,6,2,241.98874941246774,2022-01-15,08
mobile,Xiaomi,Firefox,145,842412,2022-01-01 15:00:00,fr,Japan,Direct,Organic,page_view,403,188764,3694,110.0,8,2,431.78741806522913,2022-01-16,08
