device_category,device_mobile_brand_name,device_browser,customer_id,user_pseudo_id,event_timestamp,device_language,country,source,medium,event_name,ga_session_number,ga_session_id,item_id,transaction_id,total_item_quantity,unique_items,purchase_revenue,partition_date,partition_month
mobile,Xiaomi,Chrome,718,494251,2022-01-01 00:00:00,fr,USA,Direct,Organic,purchase,810,113303,2875,186.0,9,4,243.4062659318409,2022-01-01,07
tablet,Apple,Firefox,350,576437,2022-01-01 01:00:00,zh,USA,Direct,CPC,add_to_cart,541,606694,7054,8.0,9,2,33.67266881654058,2022-01-02,07
tablet,Oppo,Chrome,799,986843,2022-01-01 02:00:00,fr,France,Referral,CPC,page_view,623,697630,7994,443.0,7,2,271.74471993558876,2022-01-03,07
tablet,Xiaomi,Firefox,138,980773,2022-01-01 03:00:00,en,Japan,Google,CPC,page_view,298,230095,5307,382.0,8,4,130.4705598648601,2022-01-04,07
mobile,Apple,Safari,666,715405,2022-01-01 04:00:00,zh,USA,Direct,Organic,purchase,881,827438,5809,441.0,7,3,55.38062469932023,2022-01-05,07
mobile,Xiaomi,Chrome,809,831107,2022-01-01 05:00:00,fr,Japan,Facebook,Organic,page_view,214,509456,9329,65.0,6,4,482.8934026540023,2022-01-06,07
desktop,Other,Chrome,667,649048,2022-01-01 06:00:00,zh,Japan,Facebook,Social,purchase,368,995998,7406,193.0,5,2,28.487920837191663,2022-01-07,07
desktop,Oppo,Chrome,219,646746,2022-01-01 07:00:00,en,Taiwan,Referral,CPC,purchase,921,496672,7655,201.0,2,4,78.14357270539296,2022-01-08,07
mobile,Xiaomi,Chrome,162,308483,2022-01-01 08:00:00,jp,Japan,Google,Organic,page_view,465,367323,2106,471.0,9,4,277.31231318365684,2022-01-09,07
tablet,Xiaomi,Chrome,583,630255,2022-01-01 09:00:00,en,USA,Google,Social,page_view,883,430695,7065,464.0,7,4,101.64712797062404,2022-01-10,07
mobile,Apple,Safari,621,607719,2022-01-01 10:00:00,en,Japan,Facebook,CPC,add_to_cart,335,226759,3182,309.0,6,4,416.14868952917817,2022-01-11,07
desktop,Xiaomi,Edge,426,549602,2022-01-01 11:00:00,jp,France,Referral,CPC,page_view,502,969333,6711,12.0,2,1,119.60375129657719,2022-01-12,07
mobile,Other,Firefox,975,582925,2022-01-01 12:00:00,fr,France,Facebook,Organic,purchase,607,535160,2333,249.0,4,4,439.303498943169,2022-01-13,07
tablet,Samsung,Safari,756,527561,2022-01-01 13:00:00,jp,France,Direct,CPC,purchase,54,964505,9371,357.0,3,1,448.2888408535431,2022-01-14,07
desktop,Other,Firefox,931,423305,2022-01-01 14:00:00,en,Taiwan,Direct,Social,purchase,344,521895,2826,429.0,5,4,211.3850965508742,2022-01-15,07
mobile,Other,Safari,977,837046,2022-01-01 15:00:00,zh,France,Referral,Social,add_to_cart,828,358111,4348,497.0,1,3,21.360522335310552,2022-01-16,07
mobile,Other,Safari,650,803138,2022-01-01 16:00:00,jp,Japan,Google,Organic,page_view,382,311811,1599,440.0,2,1,486.7612734892396,2022-01-17,07
tablet,Samsung,Chrome,801,890900,2022-01-01 17:00:00,jp,France,Facebook,Social,add_to_cart,507,845954,7141,166.0,8,1,17.386319404450887,2022-01-18,07
tablet,Xiaomi,Chrome,460,807476,2022-01-01 18:00:00,en,Taiwan,Facebook,Organic,purchase,878,951887,2563,120.0,1,3,339.19575255269683,2022-01-19,07
tablet,Other,Edge,802,857593,2022-01-01 19:00:00,fr,France,Facebook,Social,page_view,69,418009,4154,404.0,6,2,161.88630932551524,2022-01-20,07
tablet,Xiaomi,Firefox,760,732274,2022-01-01 20:00:00,jp,Taiwan,Referral,Organic,add_to_cart,432,478791,517,485.0,3,4,44.10369725408084,2022-01-21,07
mobile,Other,Edge,113,642373,2022-01-01 21:00:00,zh,France,Referral,Organic,page_view,81,184070,2506,303.0,3,2,257.0445751072539,2022-01-22,07
desktop,Apple,Chrome,48,452722,2022-01-01 22:00:00,en,USA,Facebook,CPC,add_to_cart,88,476560,6103,214.0,9,2,119.72354930723138,2022-01-23,07
desktop,Xiaomi,Edge,569,706664,2022-01-01 23:00:00,jp,Taiwan,Google,Organic,page_view,484,178562,8471,393.0,3,1,405.5503511558535,2022-01-24,07
desktop,Apple,Edge,82,139405,2022-01-02 00:00:00,en,Taiwan,Facebook,CPC,add_to_cart,433,845202,3207,303.0,5,2,54.272466084379225,2022-01-25,07
tablet,Oppo,Firefox,830,150402,2022-01-02 01:00:00,en,Japan,Google,Social,page_view,517,434478,8750,80.0,3,4,339.36264330686237,2022-01-26,07
desktop,Other,Edge,353,882379,2022-01-02 02:00:00,jp,Japan,Google,CPC,purchase,287,493434,8946,119.0,2,3,221.1207946157567,2022-01-27,07
desktop,Apple,Safari,748,227906,2022-01-02 03:00:00,fr,Taiwan,Referral,Organic,page_view,744,938880,1008,326.0,5,2,475.2356785337059,2022-01-28,07
desktop,Oppo,Firefox,730,305099,2022-01-02 04:00:00,en,Taiwan,Referral,Organic,add_to_cart,143,925750,4842,133.0,6,3,37.13055421330234,2022-01-29,07
tablet,Samsung,Firefox,974,928130,2022-01-02 05:00:00,en,USA,Facebook,CPC,purchase,504,670570,2024,354.0,6,1,77.27489527265966,2022-01-30,07
tablet,Other,Chrome,589,873986,2022-01-02 06:00:00,zh,France,Direct,Organic,purchase,411,634136,9521,354.0,7,2,394.3336902422947,2022-01-31,07
desktop,Apple,Chrome,646,773331,2022-01-02 07:00:00,en,Japan,Google,Organic,add_to_cart,777,740201,490,401.0,4,4,54.86665507022278,2022-02-01,07
desktop,Xiaomi,Firefox,552,308343,2022-01-02 08:00:00,zh,USA,Referral,Social,add_to_cart,20,879925,1693,101.0,3,3,346.81669146323446,2022-02-02,07
mobile,Xiaomi,Edge,769,487833,2022-01-02 09:00:00,jp,Taiwan,Google,CPC,page_view,550,777086,6715,390.0,6,3,195.42781955466862,2022-02-03,07
desktop,Oppo,Firefox,657,941554,2022-01-02 10:00:00,zh,Taiwan,Referral,CPC,add_to_cart,627,906524,7787,36.0,5,4,69.23699308397256,2022-02-04,07
tablet,Apple,Safari,303,921076,2022-01-02 11:00:00,jp,USA,Google,Social,page_view,271,238523,2493,344.0,4,3,130.83725762955666,2022-02-05,07
mobile,Xiaomi,Edge,625,940282,2022-01-02 12:00:00,zh,Japan,Referral,CPC,add_to_cart,897,758858,6451,368.0,1,2,422.08429831409825,2022-02-06,07
mobile,Samsung,Firefox,967,245875,2022-01-02 13:00:00,en,France,Referral,Social,add_to_cart,364,881192,2793,332.0,1,2,111.37913197569398,2022-02-07,07
tablet,Samsung,Safari,213,483399,2022-01-02 14:00:00,fr,Taiwan,Referral,Organic,purchase,781,299152,8415,425.0,4,4,163.04593582718388,2022-02-08,07
mobile,Oppo,Chrome,342,132181,2022-01-02 15:00:00,zh,USA,Facebook,CPC,add_to_cart,22,914228,3848,138.0,7,4,148.85254908137873,2022-02-09,07
tablet,Other,Firefox,845,543021,2022-01-02 16:00:00,zh,Taiwan,Referral,Organic,page_view,709,204835,4265,54.0,5,2,31.396302195218347,2022-02-10,07
